,dir,rho[k+1],lambdaValue[k],primalObjectiveValue[k],rNorm[k],sNorm[k],,f - f*
0,0,0.666666667,9.999999747,246.6531457,0.234075734,8.327210714,,
1,1,0.444444444,9.999999747,222.7100377,0.08220033,3.205237602,,52.50899198
12,2,0.296296296,9.999999747,212.6476312,0.103482269,1.849601328,,28.56588399
23,3,0.197530864,9.999999747,206.9761352,0.101744034,1.151693969,,18.50347754
34,4,0.131687243,9.999999747,203.364296,0.090680286,0.765484144,,12.83198155
45,5,0.087791495,9.999999747,200.7823514,0.093245161,0.533954731,,9.220142322
56,6,0.087791495,9.999999747,198.8832966,0.117540541,0.37327875,,6.638197707
67,7,0.087791495,9.999999747,197.8375656,0.106019313,0.282518696,,4.739142964
73,8,0.087791495,9.999999747,197.1897026,0.091961285,0.225367449,,3.693411957
74,9,0.087791495,9.999999747,196.7528302,0.077965032,0.186902745,,3.045548929
2,10,0.087791495,9.999999747,196.4386646,0.065463048,0.159704911,,2.608676556
3,11,0.087791495,9.999999747,196.2011058,0.055455571,0.139712551,,2.294510908
4,12,0.087791495,9.999999747,196.0141317,0.047839001,0.124549482,,2.056952079
5,13,0.087791495,9.999999747,195.8621197,0.042059193,0.112745207,,1.869977992
6,14,0.087791495,9.999999747,195.7352164,0.037614716,0.103345217,,1.717965969
7,15,0.087791495,9.999999747,195.6269519,0.034142837,0.095706123,,1.591062757
8,16,0.087791495,9.999999747,195.5329301,0.031384494,0.089381857,,1.482798231
9,17,0.087791495,9.999999747,195.4500736,0.029151274,0.084056609,,1.388776393
10,18,0.087791495,9.999999747,195.3761696,0.02730523,0.079503094,,1.305919916
11,19,0.087791495,9.999999747,195.3095871,0.02574549,0.075555429,,1.232015906
13,20,0.087791495,9.999999747,195.2490967,0.024398924,0.072090962,,1.165433464
14,21,0.087791495,9.999999747,195.1937517,0.023212814,0.069017812,,1.104943014
15,22,0.087791495,9.999999747,195.1428092,0.022149021,0.066266235,,1.049597974
16,23,0.087791495,9.999999747,195.0956763,0.021180379,0.063782559,,0.998655559
17,24,0.087791495,9.999999747,195.0518719,0.020287186,0.061524905,,0.951522664
18,25,0.087791495,9.999999747,195.0110004,0.019455361,0.059460142,,0.907718257
19,26,0.087791495,9.999999747,194.9727322,0.018674566,0.057561705,,0.866846702
20,27,0.087791495,9.999999747,194.9367899,0.017937254,0.055808013,,0.828578514
21,28,0.087791495,9.999999747,194.9029377,0.017237934,0.054181324,,0.792636246
22,29,0.087791495,9.999999747,194.8709732,0.016572343,0.052666888,,0.75878402
24,30,0.087791495,9.999999747,194.8407214,0.015937309,0.051252316,,0.726819469
25,31,0.087791495,9.999999747,194.8120301,0.01533029,0.049927107,,0.696567689
26,32,0.087791495,9.999999747,194.784766,0.014749295,0.048682286,,
27,33,0.087791495,9.999999747,194.7588115,0.01419269,0.047510126,,
28,34,0.087791495,9.999999747,194.7340626,0.013659118,0.046403931,,
29,35,0.087791495,9.999999747,194.7104267,0.013147354,0.045357857,,
30,36,0.087791495,9.999999747,194.6878212,0.012656305,0.044366784,,
31,37,0.087791495,9.999999747,194.6661717,0.012185076,0.043426198,,
32,38,0.087791495,9.999999747,194.6454115,0.01173278,0.042532104,,
33,39,0.087791495,9.999999747,194.62548,0.011298638,0.041680949,,
35,40,0.087791495,9.999999747,194.6063226,0.010881889,0.040869557,,
36,41,0.087791495,9.999999747,194.5878894,0.010481813,0.040095086,,
37,42,0.087791495,9.999999747,194.5701349,0.010097738,0.039354976,,
38,43,0.087791495,9.999999747,194.5530176,0.009729028,0.038646915,,
39,44,0.087791495,9.999999747,194.5364995,0.009375087,0.037968812,,
40,45,0.087791495,9.999999747,194.5205454,0.009035279,0.037318762,,
41,46,0.087791495,9.999999747,194.5051233,0.008709095,0.036695032,,
42,47,0.087791495,9.999999747,194.4902032,0.008395954,0.036096035,,
43,48,0.087791495,9.999999747,194.4757579,0.008095402,0.035520317,,
44,49,0.087791495,9.999999747,194.4617617,0.007806869,0.034966542,,
46,50,0.087791495,9.999999747,194.4481911,0.007529911,0.034433477,,
47,51,0.087791495,9.999999747,194.4350242,0.00726408,0.033919983,,
48,52,0.087791495,9.999999747,194.4222404,0.007008932,0.033425008,,
49,53,0.087791495,9.999999747,194.4098208,0.006764026,0.032947571,,
50,54,0.087791495,9.999999747,194.3977477,0.006528935,0.032486764,,
51,55,0.058527663,9.999999747,194.3860044,0.006303274,0.03204174,,
52,56,0.058527663,9.999999747,194.3690133,0.006960022,0.031406602,,
53,57,0.058527663,9.999999747,194.3526663,0.007138332,0.030801436,,
54,58,0.058527663,9.999999747,194.3369281,0.007143003,0.030224801,,
55,59,0.058527663,9.999999747,194.3217611,0.00707373,0.029674744,,
57,60,0.058527663,9.999999747,194.3071298,0.006967992,0.029149508,,
58,61,0.058527663,9.999999747,194.2930017,0.006843,0.028647465,,
59,62,0.058527663,9.999999747,194.2793466,0.006707653,0.028167113,,
60,63,0.058527663,9.999999747,194.266137,0.006567112,0.027707069,,
61,64,0.058527663,9.999999747,194.2533472,0.0064245,0.027266055,,
62,65,0.058527663,9.999999747,194.2409539,0.006281758,0.026842895,,
63,66,0.058527663,9.999999747,194.2289354,0.006140386,0.026436498,,
64,67,0.058527663,9.999999747,194.2172716,0.00600104,0.026045858,,
65,68,0.058527663,9.999999747,194.205944,0.005864412,0.025670041,,
66,69,0.058527663,9.999999747,194.1949352,0.005730919,0.025308183,,
68,70,0.058527663,9.999999747,194.1842295,0.005600682,0.02495948,,
69,71,0.058527663,9.999999747,194.1738118,0.005473972,0.024623188,,
70,72,0.058527663,9.999999747,194.1636684,0.005350781,0.024298614,,
71,73,0.058527663,9.999999747,194.1537864,0.005231205,0.023985113,,
72,74,0.058527663,9.999999747,194.1441537,0.005115209,0.023682085,,
75,,,,,,,,
